Date,Open,High,Low,Close,Adj Close,Volume
14-07-15,13.068,13.2,12.837,12.837,10.52295153,396759
15-07-15,12.3915,12.4575,12.276,12.309,10.69498498,313071
16-07-15,12.342,12.3915,12.078,12.177,10.58029368,229317
17-07-15,12.177,12.1935,11.9625,12.045,10.46560136,223938
20-07-15,12.0615,12.0945,11.088,11.4345,9.935154141,518991
21-07-15,11.3025,11.781,11.3025,11.781,10.23621974,237666
22-07-15,11.583,11.682,11.484,11.5665,10.04984544,196119
23-07-15,11.5665,11.6325,11.1705,11.286,9.806126022,280533
24-07-15,11.22,11.286,10.758,10.758,9.347359758,367092
27-07-15,10.758,11.0055,10.4775,10.4775,9.103640337,316833
28-07-15,10.56,10.824,10.56,10.6095,9.218331672,262614
29-07-15,10.626,10.857,10.593,10.6425,9.24700425,206547
30-07-15,10.923,10.989,10.725,10.791,9.376031346,264396
31-07-15,10.791,10.956,10.626,10.956,9.519397239,231231
03-08-15,9.867,9.867,9.867,9.867,8.573191143,166551
04-08-15,9.075,9.471,9.042,9.24,8.028407145,896280
05-08-15,9.4875,9.4875,8.844,8.91,7.741677339,555588
06-08-15,9.075,9.174,8.8605,9.075,7.885042737,317361
07-08-15,9.009,9.3225,8.811,9.174,7.971060471,321255
10-08-15,9.2565,9.6195,9.075,9.504,8.257789749,337986
11-08-15,9.768,9.8175,9.372,9.372,8.143097952,293700
12-08-15,9.405,9.4545,9.108,9.24,8.028407145,363759
13-08-15,9.24,9.339,9.141,9.2235,8.014070328,277200
14-08-15,9.24,9.24,8.745,8.91,7.741677339,452166
17-08-15,8.844,8.844,8.679,8.745,7.598313954,244530
18-08-15,8.811,8.9595,8.7945,8.811,7.655658615,164505
19-08-15,8.7615,8.8275,8.613,8.613,7.483622124,214038
20-08-15,8.58,8.679,8.382,8.58,7.454949051,462627
21-08-15,8.3985,8.481,8.316,8.382,7.282912065,401049
24-08-15,8.25,8.25,7.557,7.557,6.566090091,433785
25-08-15,7.524,7.92,7.491,7.755,6.738127572,597762
26-08-15,7.689,7.722,7.491,7.5735,6.58042638,535623
27-08-15,7.7715,7.854,7.524,7.59,6.594763197,641124
28-08-15,8.019,8.349,7.953,8.349,7.254238992,675345
31-08-15,8.415,8.448,8.1345,8.283,7.196893341,437844
01-09-15,8.2005,8.2335,7.9035,8.085,7.02485586,309111
02-09-15,8.0025,8.085,7.9365,8.019,6.967510704,292941
03-09-15,8.019,8.184,7.953,7.986,6.938837136,219219
04-09-15,7.986,8.382,7.986,7.986,6.938837136,456192
07-09-15,7.986,8.2005,7.986,8.1345,7.067865222,238821
08-09-15,8.25,8.4975,8.25,8.415,7.311584643,388707
09-09-15,8.613,9.2565,8.58,9.24,8.028407145,513315
10-09-15,9.0585,9.141,8.91,9.009,7.827696063,341715
11-09-15,9.009,9.3555,9.009,9.141,7.942387893,325974
14-09-15,9.3225,9.339,9.075,9.141,7.942387893,164967
15-09-15,9.108,9.141,8.91,8.943,7.770351435,140844
16-09-15,9.0915,9.1245,8.976,9.108,7.913715315,210243
17-09-15,9.2895,9.3555,9.141,9.141,7.942387893,220836
18-09-15,9.24,9.2565,9.141,9.1905,7.98539775,181071
21-09-15,9.075,9.075,8.6625,8.6955,7.555304592,429561
22-09-15,8.58,8.6625,8.448,8.58,7.454949051,399828
23-09-15,8.415,8.4315,8.184,8.283,7.196893341,431937
24-09-15,8.283,8.349,7.788,7.788,6.76680015,664785
25-09-15,7.7385,7.953,7.7055,7.821,6.795473223,383196
29-09-15,7.821,7.821,7.821,7.821,6.795473223,0
30-09-15,7.623,8.1015,7.6065,8.0355,6.981846498,496122
01-10-15,8.184,8.349,8.1345,8.2665,7.182556557,355608
02-10-15,8.2665,8.316,8.1675,8.2335,7.153883979,254496
